Unix,Date,Symbol,Open,High,Low,Close,Volume ACM,Volume BTC,tradecount
1.68083E+12,4/7/2023,ACMBTC,9.15E-05,9.15E-05,9.04E-05,9.05E-05,1729.9,0.15684557,637
1.68074E+12,4/6/2023,ACMBTC,9.13E-05,9.25E-05,8.99E-05,9.13E-05,11790.8,1.07296231,2301
1.68065E+12,4/5/2023,ACMBTC,8.94E-05,9.18E-05,8.83E-05,9.15E-05,14445,1.29551385,796
1.68057E+12,4/4/2023,ACMBTC,9.00E-05,9.10E-05,8.93E-05,9.00E-05,6821.7,0.61387148,357
1.68048E+12,4/3/2023,ACMBTC,8.96E-05,9.21E-05,8.81E-05,9.00E-05,44636.1,4.02594574,741
1.68039E+12,4/2/2023,ACMBTC,8.88E-05,9.11E-05,8.80E-05,8.92E-05,28350.6,2.53637498,611
1.68031E+12,4/1/2023,ACMBTC,8.86E-05,8.96E-05,8.76E-05,8.82E-05,7700.1,0.68207543,373
1.68022E+12,3/31/2023,ACMBTC,9.08E-05,9.09E-05,8.78E-05,8.84E-05,16106.9,1.44068526,503
1.68013E+12,3/30/2023,ACMBTC,8.66E-05,9.33E-05,8.46E-05,9.07E-05,59394,5.31857863,1677
1.68005E+12,3/29/2023,ACMBTC,8.83E-05,8.85E-05,8.51E-05,8.66E-05,7822.3,0.67736839,345
1.67996E+12,3/28/2023,ACMBTC,8.74E-05,8.96E-05,8.72E-05,8.82E-05,9093.7,0.80597828,326
1.67988E+12,3/27/2023,ACMBTC,8.67E-05,8.89E-05,8.62E-05,8.72E-05,7197.6,0.62884222,435
1.67979E+12,3/26/2023,ACMBTC,8.80E-05,8.86E-05,8.64E-05,8.67E-05,8230,0.71959987,987
1.6797E+12,3/25/2023,ACMBTC,9.06E-05,9.08E-05,8.58E-05,8.82E-05,29956.5,2.65570135,591
1.67962E+12,3/24/2023,ACMBTC,8.64E-05,9.11E-05,8.45E-05,8.96E-05,14061.2,1.24668921,640
1.67953E+12,3/23/2023,ACMBTC,8.71E-05,8.89E-05,8.57E-05,8.61E-05,4158.2,0.36305957,304
1.67944E+12,3/22/2023,ACMBTC,8.76E-05,8.79E-05,8.33E-05,8.72E-05,12051.7,1.03512711,616
1.67936E+12,3/21/2023,ACMBTC,8.89E-05,8.92E-05,8.68E-05,8.70E-05,14961.1,1.31041999,295
1.67927E+12,3/20/2023,ACMBTC,9.09E-05,9.25E-05,8.79E-05,8.93E-05,11791.4,1.06120671,578
1.67918E+12,3/19/2023,ACMBTC,9.38E-05,9.57E-05,9.01E-05,9.01E-05,4962,0.46055458,379
1.6791E+12,3/18/2023,ACMBTC,9.44E-05,9.58E-05,9.29E-05,9.47E-05,6814.9,0.64364878,460
1.67901E+12,3/17/2023,ACMBTC,9.98E-05,9.98E-05,9.22E-05,9.42E-05,21813.1,2.10611945,629
1.67892E+12,3/16/2023,ACMBTC,0.0001022,0.0001023,9.94E-05,9.96E-05,3122.7,0.31406373,173
1.67884E+12,3/15/2023,ACMBTC,0.0001028,0.0001041,0.0001001,0.000102,23804.5,2.44729346,702
1.67875E+12,3/14/2023,ACMBTC,0.0001032,0.0001038,9.66E-05,0.0001024,23792.9,2.38930272,909
1.67867E+12,3/13/2023,ACMBTC,0.0001135,0.0001146,0.000102,0.0001025,18601.4,2.01047602,930
1.67858E+12,3/12/2023,ACMBTC,0.0001187,0.000119,0.0001127,0.0001136,14460.6,1.67582037,615
1.67849E+12,3/11/2023,ACMBTC,0.000121,0.000122,0.0001173,0.0001188,11256.2,1.33680667,757
1.67841E+12,3/10/2023,ACMBTC,0.0001188,0.0001228,0.0001171,0.0001211,14257.5,1.71102269,898
1.67832E+12,3/9/2023,ACMBTC,0.000118,0.0001206,0.0001157,0.0001188,33078.9,3.89552578,1086
1.67823E+12,3/8/2023,ACMBTC,0.0001167,0.0001229,0.0001154,0.0001176,25475.3,3.009318,2471
1.67815E+12,3/7/2023,ACMBTC,0.0001158,0.0001179,0.000114,0.0001167,9148.2,1.06133426,1672
1.67806E+12,3/6/2023,ACMBTC,0.0001147,0.0001162,0.0001133,0.0001157,5380.3,0.61610989,1285
1.67797E+12,3/5/2023,ACMBTC,0.0001151,0.0001187,0.0001144,0.0001145,5568.1,0.64623932,1173
