Unix,Date,Symbol,Open,High,Low,Close,Volume ZRX,Volume USDT,tradecount
1.73396E+12,12/12/2024,ZRXUSDT,0.6258,0.6756,0.6166,0.6397,34833813,22656025.54,143409
1.73388E+12,12/11/2024,ZRXUSDT,0.5609,0.6296,0.5289,0.6258,27739933,16224133.48,101947
1.73379E+12,12/10/2024,ZRXUSDT,0.6105,0.619,0.5088,0.5608,55132961,31075066.77,141775
1.7337E+12,12/9/2024,ZRXUSDT,0.7641,0.7646,0.5155,0.6104,63386616,42273949.44,231394
1.73362E+12,12/8/2024,ZRXUSDT,0.7611,0.7675,0.73,0.764,23102189,17313371.89,81095
1.73353E+12,12/7/2024,ZRXUSDT,0.7522,0.8491,0.7314,0.7606,54200377,42331787,166191
1.73344E+12,12/6/2024,ZRXUSDT,0.639,0.912,0.6312,0.7523,215564695,175725188.3,880564
1.73336E+12,12/5/2024,ZRXUSDT,0.6634,0.6869,0.6181,0.6388,34260893,22372473.99,151347
1.73327E+12,12/4/2024,ZRXUSDT,0.6464,0.6981,0.6374,0.6634,34778131,23195024.01,165989
1.73318E+12,12/3/2024,ZRXUSDT,0.6169,0.6792,0.5842,0.6462,50899415,32501925.43,222603
1.7331E+12,12/2/2024,ZRXUSDT,0.5948,0.6289,0.5305,0.6167,29853612,17185172.46,111853
1.73301E+12,12/1/2024,ZRXUSDT,0.5838,0.6174,0.5668,0.5943,23661365,13991015.58,90135
1.73292E+12,11/30/2024,ZRXUSDT,0.5713,0.6,0.5517,0.5838,20162834,11636006.68,66476
1.73284E+12,11/29/2024,ZRXUSDT,0.5498,0.5817,0.5376,0.5715,12334390,6869377.28,39074
1.73275E+12,11/28/2024,ZRXUSDT,0.5772,0.5777,0.5347,0.5493,15906007,8785758.032,60583
1.73267E+12,11/27/2024,ZRXUSDT,0.6015,0.6345,0.5263,0.5766,43722754,24294134.47,140479
1.73258E+12,11/26/2024,ZRXUSDT,0.4775,0.6252,0.4695,0.6015,82767527,44394219.35,277124
1.73249E+12,11/25/2024,ZRXUSDT,0.5083,0.5134,0.4619,0.478,22133529,10928595.21,70860
1.73241E+12,11/24/2024,ZRXUSDT,0.463,0.5353,0.4532,0.5081,35759050,17713020.34,114413
1.73232E+12,11/23/2024,ZRXUSDT,0.4526,0.4825,0.441,0.4627,19461484,8985742.438,59733
1.73223E+12,11/22/2024,ZRXUSDT,0.4282,0.4568,0.4205,0.4524,19648807,8662458.186,47556
1.73215E+12,11/21/2024,ZRXUSDT,0.4112,0.4369,0.4018,0.428,23930103,10100928.28,62687
1.73206E+12,11/20/2024,ZRXUSDT,0.4343,0.437,0.4059,0.411,18632589,7834016.494,36354
1.73197E+12,11/19/2024,ZRXUSDT,0.4749,0.4749,0.4196,0.4344,30959349,13766795.21,74926
1.73189E+12,11/18/2024,ZRXUSDT,0.3682,0.5428,0.3649,0.475,104551325,47940929.72,289736
1.7318E+12,11/17/2024,ZRXUSDT,0.4028,0.4028,0.3592,0.3681,11744408,4490339.483,36233
1.73172E+12,11/16/2024,ZRXUSDT,0.3593,0.4112,0.3571,0.4026,19722927,7642757.663,51528
1.73163E+12,11/15/2024,ZRXUSDT,0.343,0.3604,0.3323,0.3593,7937242,2762810.909,22061
1.73154E+12,11/14/2024,ZRXUSDT,0.3602,0.3697,0.3371,0.3431,8893601,3138941.218,29182
1.73146E+12,11/13/2024,ZRXUSDT,0.3803,0.3999,0.3454,0.3602,15644492,5718858.215,56091
1.73137E+12,11/12/2024,ZRXUSDT,0.3857,0.3999,0.3507,0.3804,17823388,6698130.982,59743
1.73128E+12,11/11/2024,ZRXUSDT,0.3606,0.3862,0.3529,0.3857,12771518,4720701.252,38373
1.7312E+12,11/10/2024,ZRXUSDT,0.3453,0.3763,0.3385,0.3605,15448100,5541280.573,37947
1.73111E+12,11/9/2024,ZRXUSDT,0.3341,0.3466,0.327,0.345,9657358,3220578.535,19271
1.73102E+12,11/8/2024,ZRXUSDT,0.3324,0.3366,0.3197,0.3341,8967716,2951604.795,19045
1.73094E+12,11/7/2024,ZRXUSDT,0.3249,0.3336,0.3165,0.3319,8218538,2683514.344,15306
1.73085E+12,11/6/2024,ZRXUSDT,0.2934,0.3274,0.2926,0.3248,9269568,2906907.98,17944
1.73076E+12,11/5/2024,ZRXUSDT,0.2795,0.2969,0.278,0.2934,5805931,1664877.858,9435
1.73068E+12,11/4/2024,ZRXUSDT,0.2906,0.2948,0.2728,0.2796,4984186,1420506.386,9333
1.73059E+12,11/3/2024,ZRXUSDT,0.3018,0.3028,0.2803,0.2903,7251115,2113586.95,12645
1.73051E+12,11/2/2024,ZRXUSDT,0.3108,0.3153,0.2994,0.3017,3407687,1043128.986,6483
1.73042E+12,11/1/2024,ZRXUSDT,0.3178,0.3249,0.3062,0.3109,4487116,1410568.651,9789
1.73033E+12,10/31/2024,ZRXUSDT,0.3388,0.3402,0.3152,0.3179,5669882,1854834.232,12733
1.73025E+12,10/30/2024,ZRXUSDT,0.337,0.3454,0.3261,0.3387,8308570,2811247.165,19800
1.73016E+12,10/29/2024,ZRXUSDT,0.321,0.3399,0.3194,0.3369,6634891,2203560.995,14396
1.73007E+12,10/28/2024,ZRXUSDT,0.3218,0.3227,0.3045,0.3207,5640718,1774993.295,10808
1.72999E+12,10/27/2024,ZRXUSDT,0.3163,0.3319,0.3133,0.3215,5065657,1635818.979,9331
1.7299E+12,10/26/2024,ZRXUSDT,0.3196,0.34,0.3111,0.3162,5661023,1804655.606,13333
1.72981E+12,10/25/2024,ZRXUSDT,0.3418,0.3645,0.3067,0.3198,23455057,8168250.541,48950
1.72973E+12,10/24/2024,ZRXUSDT,0.3385,0.3551,0.3303,0.3418,8951979,3072458.772,19948
1.72964E+12,10/23/2024,ZRXUSDT,0.3512,0.3549,0.33,0.3384,11455887,3899406.618,23119
1.72956E+12,10/22/2024,ZRXUSDT,0.3579,0.3582,0.3413,0.3513,12549295,4396378.987,29720
1.72947E+12,10/21/2024,ZRXUSDT,0.3553,0.3903,0.3503,0.3581,35521572,13134215.21,81040
1.72938E+12,10/20/2024,ZRXUSDT,0.336,0.3566,0.3303,0.3554,8585285,2972789.089,18681
1.7293E+12,10/19/2024,ZRXUSDT,0.3357,0.3415,0.3319,0.3361,4469742,1503389.396,8784
1.72921E+12,10/18/2024,ZRXUSDT,0.3197,0.3375,0.319,0.3355,5806283,1918640.442,11308
1.72912E+12,10/17/2024,ZRXUSDT,0.3283,0.3324,0.3137,0.3197,3868137,1241955.085,8368
1.72904E+12,10/16/2024,ZRXUSDT,0.3362,0.3364,0.3268,0.3282,4356447,1444338.288,8751
1.72895E+12,10/15/2024,ZRXUSDT,0.3357,0.3408,0.3209,0.3362,6880874,2285926.976,16432
1.72886E+12,10/14/2024,ZRXUSDT,0.3248,0.3384,0.3197,0.3358,5473288,1812653.942,11151
1.72878E+12,10/13/2024,ZRXUSDT,0.3237,0.3289,0.3149,0.3246,3307424,1070855.724,7629
1.72869E+12,10/12/2024,ZRXUSDT,0.3165,0.3277,0.316,0.3238,2943105,948670.0946,6623
1.7286E+12,10/11/2024,ZRXUSDT,0.3043,0.3186,0.3021,0.3163,2383211,741654.9468,6067
1.72852E+12,10/10/2024,ZRXUSDT,0.3077,0.3106,0.2924,0.3044,3877851,1173813.653,8104
