unix,date,symbol,open,high,low,close,Volume CRO,Volume USD
1731427200,11/12/2024 16:00,CRO/USD,0.17,0.17,0.17,0.17,600,102
1731355200,11/11/2024 20:00,CRO/USD,0.186,0.19,0.186,0.19,2415.840897,459.0097704
1731348000,11/11/2024 18:00,CRO/USD,0.1675,0.1675,0.1675,0.1675,13558.58112,2271.062337
1716318000,5/21/2024 19:00,CRO/USD,0.1248,0.1248,0.1248,0.1248,1383.471754,172.6572749
1714996800,5/6/2024 12:00,CRO/USD,0.1317,0.1317,0.1317,0.1317,210,27.657
1712944800,4/12/2024 18:00,CRO/USD,0.14,0.14,0.14,0.14,279,39.06
1710658800,3/17/2024 7:00,CRO/USD,0.1301,0.1301,0.1301,0.1301,800,104.08
1710586800,3/16/2024 11:00,CRO/USD,0.1449,0.1449,0.1449,0.1449,13558.58112,1964.638404
1710230400,3/12/2024 8:00,CRO/USD,0.159,0.159,0.159,0.159,4500,715.5
1710216000,3/12/2024 4:00,CRO/USD,0.165,0.165,0.165,0.165,1378.243528,227.4101821
1709769600,3/7/2024 0:00,CRO/USD,0.1554,0.1554,0.1554,0.1554,257.214108,39.97107238
1709769600,3/7/2024,CRO/USD,0.1554,0.1554,0.1554,0.1554,257.214108,39.97107238
1709665200,3/5/2024 19:00,CRO/USD,0.145,0.145,0.145,0.145,307,44.515
1709596800,3/5/2024 0:00,CRO/USD,0.148,0.1724,0.148,0.1724,10640.72989,1834.461834
1709571600,3/4/2024 17:00,CRO/USD,0.14,0.14,0.14,0.14,257.214108,36.00997512
1709470800,3/3/2024 13:00,CRO/USD,0.14,0.14,0.14,0.14,5000,700
1709416800,3/2/2024 22:00,CRO/USD,0.1416,0.15,0.1327,0.15,3126.122398,468.9183597
1708390800,2/20/2024 1:00,CRO/USD,0.091,0.091,0.091,0.091,275,25.025
1705680000,1/19/2024 16:00,CRO/USD,0.08,0.08,0.08,0.08,317,25.36
1705564800,1/18/2024 8:00,CRO/USD,0.0842,0.0842,0.0842,0.0842,300,25.26
1704888000,1/10/2024 12:00,CRO/USD,0.0856,0.0856,0.0856,0.0856,36988.25367,3166.194514
1704693600,1/8/2024 6:00,CRO/USD,0.0876,0.0876,0.0876,0.0876,3761.04,329.467104
1702429200,12/13/2023 1:00,CRO/USD,0.1,0.1,0.1,0.1,1155.813686,115.5813686
1702162800,12/9/2023 23:00,CRO/USD,0.0803,0.0803,0.0803,0.0803,392.550695,31.52182081
1702094400,12/9/2023 4:00,CRO/USD,0.0995,0.0995,0.0995,0.0995,503.764433,50.12456108
1702087200,12/9/2023 2:00,CRO/USD,0.1,0.1,0.1,0.1,1243.1466,124.31466
1701676800,12/4/2023 8:00,CRO/USD,0.0945,0.0945,0.0945,0.0945,3000,283.5
1701374400,11/30/2023 20:00,CRO/USD,0.09,0.09,0.09,0.09,250,22.5
1701327600,11/30/2023 7:00,CRO/USD,0.091,0.091,0.091,0.091,5000,455
1700632800,11/22/2023 6:00,CRO/USD,0.0924,0.0924,0.0924,0.0924,440.5082,40.70295768
1700629200,11/22/2023 5:00,CRO/USD,0.0924,0.0924,0.0924,0.0924,4429.0041,409.2399788
1700254800,11/17/2023 21:00,CRO/USD,0.097,0.097,0.097,0.097,840.928925,81.57010573
1699725600,11/11/2023 18:00,CRO/USD,0.1,0.1,0.1,0.1,256.79345,25.679345
1699682400,11/11/2023 6:00,CRO/USD,0.1,0.1,0.1,0.1,59.358929,5.9358929
1699552800,11/9/2023 18:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,23.243418,1.843203047
1699527600,11/9/2023 11:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,1085.604338,86.088424
1699506000,11/9/2023 5:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,1190.126561,94.37703629
1699488000,11/9/2023 0:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,3024.404676,239.8352908
1699484400,11/8/2023 23:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,600,47.58
1699459200,11/8/2023 16:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,317.709453,25.19435962
1699394400,11/7/2023 22:00,CRO/USD,0.0793,0.0793,0.0793,0.0793,177.711554,14.09252623
1699372800,11/7/2023 16:00,CRO/USD,0.075,0.075,0.075,0.075,1413.980064,106.0485048
1699369200,11/7/2023 15:00,CRO/USD,0.07,0.075,0.07,0.075,638.18153,47.86361475
