Target exchange,SHA256,App name,Package name,VirusTotal positives,Malware type,Malware family,Family
Coinmama,feb8fd720597ea32f7f157163fe491be87f20fbfc036440c63719a9bbc48adf2,Coinmama,com.coinmamambapp,0,  ,  ,feb8fd720597ea32f7f157163fe491be87f20fbfc036440c63719a9bbc48adf2
HitBTC,4c80e5d02557d6b8161dfb23aff5005ac8a8f7d710b51e13d09bf275de535c85,Hitbtc,com.hitbtcmbapp,0,  ,  ,feb8fd720597ea32f7f157163fe491be87f20fbfc036440c63719a9bbc48adf2
LocalBitcoins,b317498585051bd49da07612a84b0b36c38cef9729a64e4075c2780e902022d0,Localbitcoins,com.localbitcoinsmbapp,0,  ,  ,feb8fd720597ea32f7f157163fe491be87f20fbfc036440c63719a9bbc48adf2
Paxful,8d908f4d809eadeddb92fbe0ddcdd57e7a68c5f5a72ed345b5edc9e230145aff,Paxful,com.paxfulmobileregister,0,  ,  ,feb8fd720597ea32f7f157163fe491be87f20fbfc036440c63719a9bbc48adf2
Etoro,f49268ebf7ab2e4ae0f060ed11da0be85d3059c90f5568410dfc4119e3762438,eToro,com.mobincube.android.sc_3SIVWR,0,  ,  ,f49268ebf7ab2e4ae0f060ed11da0be85d3059c90f5568410dfc4119e3762438
Etoro,4d8ad7e509568a240747fa811332573085321e24f76a9ba7f68a6c59614f3b09,eToro,com.mobincube.android.sc_3SIVWR,0,  ,  ,f49268ebf7ab2e4ae0f060ed11da0be85d3059c90f5568410dfc4119e3762438
Bitfinex,ed68d609a59ae7a4aedeb583a12cddb24bd52d976e9765c84304c85ac0a889c8,Bitfinex,com.evangelically.imprisonment,0,  ,  ,ed68d609a59ae7a4aedeb583a12cddb24bd52d976e9765c84304c85ac0a889c8
Bitfinex,0758401ca827c1a3e794310c2289511d02edea53d9f7253349cf0be279d8f72a,Bitfinex,com.evangelically.imprisonment,0,  ,  ,ed68d609a59ae7a4aedeb583a12cddb24bd52d976e9765c84304c85ac0a889c8
Bitstamp,05f74e5bad8e1ef80b4cc10a9065bae0ae88dcfb16380562feefa5170f0c9c49,Bitstamp,com.owelty.enomotarch,0,  ,  ,ed68d609a59ae7a4aedeb583a12cddb24bd52d976e9765c84304c85ac0a889c8
Yobit,f1f3945ce7c19aa3226a22814bb8f73b1a51222181a081ccadbfa2f384a9b439,Yobit Client,ru.brainsofter.yobit,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d,Yobit Client,ru.brainsofter.yobitclient,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,78c8471d797129618cf849344e199e5a3567825c41b9e2d0752d63491f11f777,Yobit Client,ru.brainsofter.yobitclient,2,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,3f880e9beecd3606cd092bf3aabc9920f0a89591c40733c3221f8a3394700b31,Yobit Client,ru.brainsofter.yobit,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,981995ab0c8dc02b07f0729b477b0021b06310aaa8156782efde4e9ec3bd4c57,Yobit Client,ru.brainsofter.yobitclient,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,0ba58d5359cdd7f7c7a16aebc215f2baf9635ac6c5c6542290e1e4292b38507f,Yobit Client,ru.brainsofter.yobitclient,2,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,b577ae7749a3c9819eab2ac65d573bd4625aa23de4695035eed22e6eb3b7f958,Yobit Client,ru.brainsofter.yobitclient,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,c955cd8df59f6784e45752949083705f8a04bf0a7ec34afd425cefe498b59b92,Yobit Client,ru.brainsofter.yobitclient,3,trojan,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Yobit,def7843638bc5122a087f60e1c2a8622884a374203ab0f5c844700e5e62b8a3d,Yobit Client,ru.brainsofter.yobit,0,  ,  ,ea26384c734ee52dab2b4a5345de0e6516da49a647dd271325d81c9dc012b29d
Bittrex,e45b59393907f6647977c92d6fb2bd3dab055bff6b0bae5062f70666702ac39d,BITTREX - Officially,com.cal.bittrexofficially,0,  ,  ,e45b59393907f6647977c92d6fb2bd3dab055bff6b0bae5062f70666702ac39d
Cryptopia,82d8edcf60fd265114280ba2824f34d29d86066be006275b4d8fa1a69c4db803,Cryptopia Exchange,karlbb.cryptopiaexchange,0,  ,  ,e45b59393907f6647977c92d6fb2bd3dab055bff6b0bae5062f70666702ac39d
Cryptopia,2f5b03268cb1cf3954e035fc2741e57fe57d23e3453dd864f133e09f2806dfae,Cryptopia Exchange,karlbb.cryptopiaexchange,0,  ,  ,e45b59393907f6647977c92d6fb2bd3dab055bff6b0bae5062f70666702ac39d
Cryptopia,363a10715e75ed77844149e0b3126ef517805e7e06c2234a96c7b9b69d03fd36,Cryptopia Exchange,karlbb.cryptopiaexchange,0,  ,  ,e45b59393907f6647977c92d6fb2bd3dab055bff6b0bae5062f70666702ac39d
