Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xf20c56c3d56854b4f0ac960783726a142e76ef5f64f27ea6b6eff97e10616457","Success","Approve","20610496","2024-08-26 04:52:11","0x22386e7dd1721348f1b922f9f6fa1f4dc2a64905","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.0000363"
"0xb0f1e17905eaa24dd4f4f44acd7d7b2c0ec9f2f3760e069d2afdd4b9f4dac1ab","Success","Approve","20102921","2024-06-16 07:40:59","0x75f70a5bcc20a71a12f4587d0d2e690c4fcb0235","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00015847"
"0xeec4f1cfcfa328b813194fea14ac3e90518eac9915d9e2690bc4fe82dbc27c0f","Success","Transfer","20102916","2024-06-16 07:39:59","0x7cb970fb22c81e934c5a5066407abc09ad616997","dirtyjesus.eth","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00085108"
"0xe30067c1fe0dad88a1eb5be5a3c2df4342a6601ba1adc6e25fff2f6179cee90d","Success","Approve","20053662","2024-06-09 10:26:35","0xc8e1020c45532feea0d65d7c202bc79609e21579","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00017094"
"0x5fc70208f46e3cf3fea1cabf4b402ef89d779d19b0c2f09057e3081957c321f1","Success","Approve","17288209","2023-05-18 18:27:11","0x8a64e9ac4afc16e90667dc15f8487c0027968810","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.0016768"
"0xbd7dcc2fa4cde3d8ab19c8809d3f25f0a8823c601fe915a46116226dcca8f069","Success","Approve","17223417","2023-05-09 14:14:23","0x7d818a565955ae975d2479f06650e3ad0e5d49e5","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00287428"
"0x31221648dc10d31a6720045364411b634f31946f0920ad65ec49f9cf1d3b889f","Success","Approve","16171095","2022-12-12 20:45:47","0x326c6cfd2b71b7706051465d4b5ad42e33085d1b","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.0009316"
"0x2dc41cabff2158af255256351cf7a6f03e515188be2615c1d40d03a711c5031d","Success","Approve","15348441","2022-08-15 21:43:19","0x925dee14bd16651c7b0efe4cedd780fa49f07424","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00073817"
"0x68f99a717a2cf0f25ff5662e7967c5296574ec458567870670a0c7775229d5f1","Success","Approve","15348432","2022-08-15 21:41:44","0x925dee14bd16651c7b0efe4cedd780fa49f07424","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00075687"
"0xc6f2eae0c54a76ea99ed95d45858f396587ea3e5e0d39271685cc842b8a7d1aa","Success","Approve","14811796","2022-05-20 15:08:22","0x166726ae0b0d93a011e50c1cbdbbaa39dc2b2ea2","","0x5f90A676A0eFCE3e2F69569C17b6f329Ad0a1b32","Sailor Moon Inu: Sailor Moon Token","0 ETH","$0.00","0.00096121"
