Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"21395560","2024-12-13 19:04:11","0x580690b712278bccc2259e1150c9ac52800dd30e3e234e92d2dadffd9ad7c64f","Success","call","0x111111125421ca6dc452d289314280a0f8842a65"," Aggregation Router V6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.002343704112852143 ETH","$9.18"
"","","0x822745c160399de64508b4d0646c4576c735f33d1f2847b599038bf6b7d01c86","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.008854634500364791 ETH","$34.68"
"","","0x822745c160399de64508b4d0646c4576c735f33d1f2847b599038bf6b7d01c86","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0x382ffce2287252f930e1c8dc9328dac5bf282ba1","Coinbase: Fees","0.000089440752528937 ETH","$0.35"
"","","0x822745c160399de64508b4d0646c4576c735f33d1f2847b599038bf6b7d01c86","Success","call","0x1111111254eeb25477b68fb85ed929f73a960582","Aggregation Router V5","0x3451b6b219478037a1ac572706627fc2bda1e812","","0.008944075252893728 ETH","$35.03"
"","","0xfe381c8a11e0a48fe851f266f1abd32dc5cfde1708b1e0bd931b40f53cbc21a5","Success","call","0xa9502665b39b0e61f2cbbffad139688615fb16f6","","0x01fb3dcb4d5b3942ade0de7685fc86c7873f8721","","0.05 ETH","$195.81"
"","","0xdd69e631bd418cb60eb4a2a1714ab14559bc15f6f8a1ea9e5ca5b3d4c0500f01","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.035137466603461867 ETH","$137.60"
"","","0xdd69e631bd418cb60eb4a2a1714ab14559bc15f6f8a1ea9e5ca5b3d4c0500f01","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0x382ffce2287252f930e1c8dc9328dac5bf282ba1","Coinbase: Fees","0.000354923905085473 ETH","$1.39"
"","","0xdd69e631bd418cb60eb4a2a1714ab14559bc15f6f8a1ea9e5ca5b3d4c0500f01","Success","call","0x1111111254eeb25477b68fb85ed929f73a960582","Aggregation Router V5","0x3451b6b219478037a1ac572706627fc2bda1e812","","0.03549239050854734 ETH","$138.99"
"","","0x4c60a4cdc1d5e3bdc551cb58ddc71fa7d8f330d5155a81bddd52b07af385cb72","Success","call","0x22f9dcf4647084d6c31b2765f6910cd85c178c18","0x: Exchange Proxy Flash Wallet","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.01405497539740443 ETH","$55.04"
"","","0x4c60a4cdc1d5e3bdc551cb58ddc71fa7d8f330d5155a81bddd52b07af385cb72","Success","call","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x: Exchange Proxy","0x22f9dcf4647084d6c31b2765f6910cd85c178c18","0x: Exchange Proxy Flash Wallet","0.01405497539740443 ETH","$55.04"
"","","0x80c47ce6265ef6acc65ec59c22294c1ba7dadf99640e682152473f126215c87c","Success","call","0x866e82a600a1414e583f7f13623f1ac5d58b0afa","","0x49048044d57e1c92a77f79988d21fa8faf74e97e","Base: Base Portal","2.6 ETH","$10,182.06"
"","","0x80c47ce6265ef6acc65ec59c22294c1ba7dadf99640e682152473f126215c87c","Success","call","0x3154cf16ccdb4c6d922629664174b904d80f2c35","Base: Base Bridge","0x866e82a600a1414e583f7f13623f1ac5d58b0afa","","2.6 ETH","$10,182.06"
"","","0x120b1f2779bf843bfa181e7820e167d7eaa3e7be93ddc44643be0b21baea6764","Success","call","0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.02043339224961432 ETH","$80.02"
"","","0x120b1f2779bf843bfa181e7820e167d7eaa3e7be93ddc44643be0b21baea6764","Success","call","0x0000000000001ff3684f28c67538d4d072c22734","","0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710","","0.02043339224961432 ETH","$80.02"
"","","0x824915470c2bd2470a5af8f3d100ca155e2d31e02f703ca6dc2bfe7b347772c6","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.062 ETH","$242.80"
"","","0x824915470c2bd2470a5af8f3d100ca155e2d31e02f703ca6dc2bfe7b347772c6","Success","call","0x111111125421ca6dc452d289314280a0f8842a65"," Aggregation Router V6","0x3451b6b219478037a1ac572706627fc2bda1e812","","0.062 ETH","$242.80"
"","","0x824915470c2bd2470a5af8f3d100ca155e2d31e02f703ca6dc2bfe7b347772c6","Success","call","0xb300000b72deaeb607a12d5f54773d1c19c7028d","","0x111111125421ca6dc452d289314280a0f8842a65"," Aggregation Router V6","0.062 ETH","$242.80"
"","","0x5b603a8ac871a9ec39712e7abcf596847e7a8a90d9a42f9653969961303d18e2","Success","call","0x1111111254eeb25477b68fb85ed929f73a960582","Aggregation Router V5","0x229efb1fbeed3e98baf5a77b9e11faf32c5dd81f","","0.103064746798376805 ETH","$403.62"
"","","0x5b603a8ac871a9ec39712e7abcf596847e7a8a90d9a42f9653969961303d18e2","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0x1111111254eeb25477b68fb85ed929f73a960582","Aggregation Router V5","0.103064746798376805 ETH","$403.62"
