Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x8ca5a807547afde55bb49990728488394f0f53d5","","181,463,236,536.403359958091697186","27.2195%",""
"2","0xd980690840c4b4c5abce4b282bedb276acab98a0","Uniswap V3: DOGS 7","47,092,715,298.239079825237249817","7.0639%",""
"3","0x5ebae562af91ac7bcd964bc2f7e893e0cbec000b","","44,444,444,444","6.6667%",""
"4","0x375ffceb09c4e03cec4da8f8216e77da26672eb3","","36,605,526,968.767467185555843557","5.4908%",""
"5","0x4c1ef516263d5b0dcf5cd11977edaa4a75d7f6b3","","26,000,000,000","3.9000%",""
"6","0xe47dc979bd8c4f2e1d757c7751abeb6dcc5963d2","","25,443,126,882.673228937688714508","3.8165%",""
"7","0x65d577411bcd30fb9267d160183ac766167d9b42","","20,577,250,753.069291575075485803","3.0866%",""
"8","0x65320c5e431b39920dd09d8ef54e369829dbb1e2","tehfund.eth","19,694,191,802.434893091804873048","2.9541%",""
"9","0xf4a11b0e4756d81e2aa0046695ef9bce45bc413b","Uniswap V3: DOGS-CAW","10,477,282,607.12824367431062773","1.5716%",""
"10","0xec04fb5cbed3af9d53fc26eaef28934e73192817","","10,288,625,376.534645787537742901","1.5433%",""
"11","0x39710a98f8f5710d7ba5893633eaa2c0a2ed3ca3","","9,465,535,346.411874124534723469","1.4198%",""
"12","0x5659305720ba499dc484b80a38295f80cf80114c","Caw Dogs: Deployer","9,418,112,977.898715828907744196","1.4127%",""
"13","0xf8d9f4533491671c453171bdfd4110357b5cb176","","8,368,984,582.522099574517399829","1.2553%",""
"14","0xa3fdc2962996fce8b9eff3dc82abede90484f851","","7,964,793,921.011733970129569538","1.1947%",""
"15","0x5d738fbf1d8940bbe72af847d88c517064de76e7","NonKyc.io: Hot Wallet","7,643,469,593.813320814601921023","1.1465%",""
"16","0x7a32327625f617e195d525fd19ddea1f8f6422b2","","7,603,990,986.291528626815693042","1.1406%",""
"17","0xfaf9c16641df031904acc706cfc7f5cf98f000f6","","7,364,399,531.849124267369346507","1.1047%",""
"18","0x749e71561381e9e03a0cf7e5f3d78d7110d06bfd","","7,230,900,301.227716630030194321","1.0846%",""
"19","0xb0b33fa670cd9a9578f8b02d92d187acf1930da2","","6,526,698,121.331856521773576825","0.9790%",""
"20","0xb251b8d825e4e349c8e0684d30f5b2705d8152ec","","6,442,326,361.387893960712722597","0.9663%",""
"21","0x771735e9f159bb5c82aa3642bc6795271f4ab8d1","","4,506,628,028","0.6760%",""
"22","0x8645f29b95c8276a766554e7f96cb44ed9aa3872","","4,240,385,410.841574945045291482","0.6361%",""
"23","0x5c417464325c0e2eaba5971b7540b22b0170b336","","4,214,329,060.879314908575659363","0.6321%",""
"24","0x8bf62c047c71b204576a507c76a37ac5734cb211","","4,137,549,419.151200270183480068","0.6206%",""
"25","0xdbd0eed70383f53351571c792cd0b3f41c93c2b6","","4,121,749,501.831012555434935841","0.6183%",""
"26","0xf1b920fc7b7952d010a3fce8105b1d3a8a3747dc","","4,115,749,217.169623891868291977","0.6174%",""
"27","0x9ddc8d91eae8bc699bac27426460018482a90fb6","","4,029,178,702.669835492473329443","0.6044%",""
"28","0xda4391b66d8bdb5a7f34962e93c2371c7c371547","","3,954,121,550","0.5931%",""
