Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0xc289474c10bfbc7e59103943abb729c88ff47029071c0220973e3e6a4014ca6d","Success","Execute","21392080","2024-12-13 07:24:47","0xCd5E92655044E6f8834B32A9daE38f73fc5B3C02","","0xd980690840C4b4C5ABCe4B282bEDb276aCAb98a0","Uniswap V3: DOGS 7","817,875,445.220682917513415573","$0.00",""
"0x01e6076d1e8e9d7539d8090ab5a08b1df2f49e4833b43749efab6fab9e5e922e","Success","Withdraw","21392077","2024-12-13 07:24:11","0x8ca5A807547aFDe55bb49990728488394f0F53D5","","0xCd5E92655044E6f8834B32A9daE38f73fc5B3C02","","817,875,445.220682917513415573","$0.00",""
"0x922ceac35d6cd1f00f74c23a0fad7bb2b7221a6c503febcc9852ba58c042dd52","Success","Transfer","21392033","2024-12-13 07:15:23","0xE963A2A4c975b929796B281D692f3cA362628901","","0xa815256Bf9ACE1e4dd057C2dD49824C938E34Ca0","","1,304,590,000","$0.00",""
"0xd4ccdfbe574bd95b1cdea90881ee1109a9107729fe16062e5cd463a70c390aad","Success","Transfer","21392018","2024-12-13 07:12:23","0x5D738fBf1D8940BBE72Af847d88c517064DE76e7","NonKyc.io: Hot Wallet","0xE963A2A4c975b929796B281D692f3cA362628901","","2,366,424,563.4458","$0.00",""
"0xb05a97400a3f25b575260888edbb2d7b3942d6f41d1bfda3a007c903a131917e","Success","Uniswap V3Swap To","21391189","2024-12-13 04:25:59","0x9A23A93905a0CEf884ACB6F6488BC5D7b964EF73","","0xd980690840C4b4C5ABCe4B282bEDb276aCAb98a0","Uniswap V3: DOGS 7","1,002,538,840.5351001","$0.00",""
"0xda07cdcd10f03206e563eb86e29ef7e560eea6a4a7a898eaccabc2c2e93f1bcf","Success","Transfer","21391072","2024-12-13 04:02:23","0x5D738fBf1D8940BBE72Af847d88c517064DE76e7","NonKyc.io: Hot Wallet","0x9A23A93905a0CEf884ACB6F6488BC5D7b964EF73","","1,002,538,840.5351001","$0.00",""
"0x7c9912cf4003e0d30e79a46b6e8e560c0ec149de65bed1baa27c48bebd2365ab","Success","Deposit","21389821","2024-12-12 23:50:35","0xCd5E92655044E6f8834B32A9daE38f73fc5B3C02","","0x8ca5A807547aFDe55bb49990728488394f0F53D5","","621,417,584.737897527237133443","$0.00",""
"0x7a5fbb25f376f83daca44399aa694139ca00b903f931d1da4aec22e256cb313b","Success","Execute","21389815","2024-12-12 23:49:23","0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD","Uniswap: Universal Router","0xCd5E92655044E6f8834B32A9daE38f73fc5B3C02","","621,417,584.737897527237133443","$0.00",""
"0x7a5fbb25f376f83daca44399aa694139ca00b903f931d1da4aec22e256cb313b","Success","Execute","21389815","2024-12-12 23:49:23","0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD","Uniswap: Universal Router","0x000000fee13a103A10D593b9AE06b3e05F2E7E1c","","1,557,437.555734079015631913","$0.00",""
"0x7a5fbb25f376f83daca44399aa694139ca00b903f931d1da4aec22e256cb313b","Success","Execute","21389815","2024-12-12 23:49:23","0xd980690840C4b4C5ABCe4B282bEDb276aCAb98a0","Uniswap V3: DOGS 7","0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD","Uniswap: Universal Router","622,975,022.293631606252765356","$0.00",""
