Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x18709e89bd403f470088abdacebe86cc60dda12e","Huobi: Recovery","5,849,780.513941738486054373","22.4355%",""
"2","0x815ca7317edb02fd90409c315d94cc5cd5e7dda1","","4,053,000","15.5444%",""
"3","0x7174c16f86df4e537eb87a604ca9f679a82f4e8a","","2,382,526.88783892","9.1376%",""
"4","0xa03400e098f4421b34a3a44a1b4e571419517687","HTX 52","1,996,435.04650634","7.6569%",""
"5","0xcb8efb0c065071e4110932858a84365a80c8fef0","","984,290.2857206","3.7750%",""
"6","0xf14c9dbdb31b0a18af44fcf97ed12b0abfe1b92e","","885,000","3.3942%",""
"7","0x13a4d58ccb2c55060a5f3812676558f20955e22b","","732,557","2.8096%",""
"8","0x40394c0f96c3cfaaca7235776d1b01cc4df5c4b9","","500,952","1.9213%",""
"9","0x17ec047622c000df03599026a3b39871ec9384db","","422,223","1.6193%",""
"10","0x7131128602732f0842e19704d69ac44a87c36eca","","416,668","1.5980%",""
"11","0x1ceef4dec79088228f3b4827b89d6c9c39d68682","","392,000","1.5034%",""
"12","0x000000000000000000000000000000000000dead","Null: 0x00...dEaD","372,689","1.4294%",""
"13","0x2b903d070f6b57102e412eac2829914f36b97144","","302,689","1.1609%",""
"14","0x717821aae2a45c5c5c5bcda7a8662cd3df2385e5","waynelin.eth","301,800","1.1575%",""
"15","0x5ba8c3f55edc13c641d8612cd37ca89dc4e2cfb2","","287,500","1.1026%",""
"16","0xa37e4ef510150e942def77b79d262d5fb31299ee","","277,779","1.0654%",""
"17","0xe140bb4a2d2014bb8cb514d676192d5e41eff945","","277,779","1.0654%",""
"18","0x6bb6a2a41ee0ae92bc733a7c55fc811e18fd5b03","","276,112","1.0590%",""
"19","0x927080a46f5659e6085971c8ab901b3e393e901a","","241,667","0.9269%",""
"20","0xdd9fdc76d96cc96f41113e90520731b56e41db7a","","236,520","0.9071%",""
"21","0x72e1beb961f5eb460fa6ec498fd148c979adc8b1","","200,000","0.7671%",""
"22","0x9765d2a7a93182081f01b9857d862fb2fb5e9e8c","","193,938","0.7438%",""
"23","0x3706f5754d41efaed8e70d49826f035fa1b0c328","","186,345","0.7147%",""
"24","0x4a5bb1c9347a0d4f7e06a29239162f03647d9232","","186,345","0.7147%",""
"25","0x9863e80bc369b36f49b6786c0b5c140bd44af231","","186,345","0.7147%",""
"26","0x2fcfcabcbb314a82f70415113169de0c1d781250","","177,779","0.6818%",""
"27","0x2aaa2483b5cfe7719595779579cf36819021bcae","","177,000","0.6788%",""
"28","0x69d740c30745c4c04cfaa5b6d78b0727ab4fa753","","175,001","0.6712%",""
"29","0x158d41300b59acb7f2bef0cb5a73f6787c46e551","","166,668","0.6392%",""
"30","0xa93ee2d5ac5b802b9a8dbbc4db2cb3a772e89c7c","","159,678","0.6124%",""
"31","0xbfc94a95d4448c802e848c68fdd2fc0fee4a876e","","158,011","0.6060%",""
"32","0x3f4a4741f0e612b46e85ec84b1fb31b37f681999","","151,345","0.5804%",""
"33","0x8f34f8912452121bd2077a73f40104db4daa8725","","148,279.2213709","0.5687%",""
"34","0x2ba01dd59e271cd0c7f952b1762904765865c2ed","","134,577","0.5161%",""
"35","0xdff3e75750963dba6fc85f0e0016ebb3a51c8ff6","","120,834","0.4634%",""
"36","0x8ae4aa31c8d4cbbcdef62fa2e301145bfd77f06b","","118,260","0.4536%",""
"37","0x25a60f6ea452b5eb83490d16d259da1c7842b821","","118,260","0.4536%",""
"38","0x34e043c05a9d7302b6a0348323027c8b8924a063","","118,260","0.4536%",""
"39","0x4bd74d345c128f0a80bc711740d16cf3cce70de1","","100,511","0.3855%",""
"40","0xea0ba26adb3a6055ad7b5dd55833b8cbe8f36d83","","95,861.5","0.3677%",""
"41","0xe24283e2f22a7a4360dab185dfeb62190d13742f","","84,573","0.3244%",""
"42","0xf0d66807004b4080e02026b50da1d3b214d2b4b6","","74,538","0.2859%",""
"43","0x30ce6524df14f3f844df8e96abf0eb9118dfa908","","72,747","0.2790%",""
"44","0x5334a231015862802eb94bfe141f9b824361eca3","","70,956","0.2721%",""
"45","0xa952b10d4ecd8d15de37935c9eaaa2e8dcd5c69b","","70,000","0.2685%",""
"46","0xcad5de2cbd72f29a970874d2372930f2dfb0944c","","63,196","0.2424%",""
"47","0x8bea73aac4f7ef9daded46359a544f0bb2d1364f","","51,556","0.1977%",""
"48","0xe5d57b3546663edeca885cf5e4e4fc318cc51168","","49,871","0.1913%",""
"49","0xa9acd2b94f4f4b69c79187b152b67cd0c35010f9","","44,839","0.1720%",""
"50","0x6e4ef9188ec1023faacfdcd292131e07bfd6b0d6","","43,838","0.1681%",""
