Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x208281b374b891b11419fe0bf9b73819af6c349d","","111,351,206.99253741","92.7927%","$888.72"
"2","0x10ef43d90ca8baf45f7a753b931bc064a0ac1ebd","","8,406,767.41955086","7.0056%","$67.10"
"3","0x8b550f58b714f15d18a970241d6db2563f0c5615","Uniswap V3: BSCGIRL","161,236.54608209","0.1344%","$1.29"
"4","0x03360978699e6ff105c9b5137381c21d055ffa36","","10,000","0.0083%","$0.08"
"5","0x6c3c11ab134a31b1da86957a45c8c40fec5138a7","","7,912.39909156","0.0066%","$0.06"
"6","0x4815366bb6f74796173c8bea057b5919810138a6","0xdipinathout.eth","7,567.00918299","0.0063%","$0.06"
"7","0x604c3edb35f2625b24d946f855e0526f2025ed73","","7,053.56452393","0.0059%","$0.06"
"8","0xf6c5802b47ad58d4da6cfc2fd84d7889dc45a45d","","3,890.04866239","0.0032%","$0.03"
"9","0x02f29e47ad890f25ad10cc6ebeaf49b7e03960db","","3,556.86611762","0.0030%","$0.03"
"10","0x3957fd7ad593a97bffcc02936ae6d684c23b14aa","","3,219.12022628","0.0027%","$0.03"
"11","0xe01c23c4df1d8b277a1033a49b5a6d4aa5e9aa5b","","2,948.36167057","0.0025%","$0.02"
"12","0x22f2800faa98ef82552d54e21042cff449b75387","reina115.eth","2,271.53854084","0.0019%","$0.02"
"13","0x3648c933c0b21f78471f4a62f5e3a385a01094ae","","2,156.84196731","0.0018%","$0.02"
"14","0x61405dbf86bd26330c3ea1a899898d6339974c74","","2,000","0.0017%","$0.02"
"15","0x5302dd4a3773c323cee0cf18dc08f54f208ccb23","","1,951.66406302","0.0016%","$0.02"
"16","0xcae465a73d3e6acae585818e55586dc839dc7cff","","1,752.95541589","0.0015%","$0.01"
"17","0x664976141dcf1084e3f51c5030f52486daa64761","","1,742.87960587","0.0015%","$0.01"
"18","0x18cfa85ffdc04dc032921d4f74ed293612714862","","1,437.63448882","0.0012%","$0.01"
"19","0x23b0fdba7895edf470960e128fe6d65574711046","","1,434.48846924","0.0012%","$0.01"
"20","0x49d3df85fef5126581959a57ec0329789ec045df","","1,381.60266523","0.0012%","$0.01"
"21","0x76af727cec2b32b1c11ecca9e9061a7c7306b456","","1,358.32590256","0.0011%","$0.01"
"22","0x42024592cc1a28b3d18ab5e9746b9816b3d5b6a7","","1,269.99605452","0.0011%","$0.01"
"23","0xd414fcc5491bea4424f22e3b4dd9a320142c9eb5","","1,185.35767851","0.0010%","$0.01"
"24","0x874ea3fca9fc14b354cbaf40ffa4a7b0cbf4db77","","1,175.39054933","0.0010%","$0.01"
"25","0x2312d6c6c507c8824c8faf06737f90ead7b64fd2","","1,174.96837631","0.0010%","$0.01"
"26","0x9105d18251bf4ae6e98783cbd5adee1f5ca4944a","","1,098.03925861","0.0009%","$0.01"
"27","0x3eadd8776c366b051d93f5e7d36523bd652502ee","","999.0147092","0.0008%","$0.01"
"28","0x492d6c49765d104fc052d1d2f929a12c09ac601c","","782.49285045","0.0007%","$0.01"
"29","0x6507939ce9555511dac07648da004057a2e20f1f","","685.89401","0.0006%","$0.01"
"30","0x4426fd187c096044a705aae3d30bdb6bc62926e3","","667.21074137","0.0006%","$0.01"
"31","0x59b38761ad4dcdd32e9ca79636cf41b55911659e","","628.1","0.0005%","$0.01"
"32","0xad65b812ccb93a3879a6b7513f87a4f94470b78b","","588.8504229","0.0005%","$0.00"
"33","0x99afdf1068e514f1aeda0a9dd1802dd95d08bc01","","546.98730702","0.0005%","$0.00"
"34","0x57fceb87ca75cc2bcb9f466d612d8213c05ba0d1","","513.41813119","0.0004%","$0.00"
"35","0xd377cffcc52c16bf6e9840e77f78f42ddb946568","","416.02124176","0.0003%","$0.00"
"36","0x832c167e38dc2db4663c063a901c5d5455a130bc","","396.24091062","0.0003%","$0.00"
"37","0xf2e042b8d7e49a4856f53900599f8da437e232f3","","392.6391807","0.0003%","$0.00"
"38","0x14e76cf480eaff9061d9d919d5da7a3882a84841","","391.35791159","0.0003%","$0.00"
"39","0x2da54367d6e020f016598994708f96269eaa2abf","","390.18346887","0.0003%","$0.00"
"40","0xd26b751e97672358b9e26d8e247a331bf65bac72","","312.61387853","0.0003%","$0.00"
"41","0x45655f6b3cb90188c67e2453c6f234ec46114d78","","289.4761665","0.0002%","$0.00"
"42","0x07ffe337b20e5f24dbedc9325641e1e21ce07f8f","","255.64267376","0.0002%","$0.00"
"43","0x192b760db2f7b482ccd1914a78c725b17c1739a6","","196.69935795","0.0002%","$0.00"
"44","0x9dde652be7fca8fc2189595e838d9d547d65f8a1","","196.6918916","0.0002%","$0.00"
"45","0xce5fa25ff39f58dbbfaf50cafa1d126386acb2ca","","196.68814573","0.0002%","$0.00"
"46","0xe72f9ea8c980a5d272b250455515f56e89a6793c","","196.54350314","0.0002%","$0.00"
"47","0xb268c963f131bc7707c22876a14069c4f88b9257","","196.36653275","0.0002%","$0.00"
"48","0x645b9b1945ecc9bde83abb1ab379bea3d04b7688","","196.1393527","0.0002%","$0.00"
"49","0x2c0a5a4074725922692602dd87d04e64828916d0","","194.02532484","0.0002%","$0.00"
"50","0xdfe2abf98768a340cde2e0e51db50313bae26160","","193.91200368","0.0002%","$0.00"
