Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x6f772d3cba66071701588eb5e80c256c8d82fe52c77dab6224b861d9f418d2fe","Success","Transfer","20150504","2024-06-22 23:25:23","0x0F53352719E792F6A5B5A8440D6bB8D6a2e9C859","","0x9763D6413141E23A32d1459fe7CfDe6a4cddCB36","ebylohov.eth","59.04379188","$0.00",""
"0x8e85dc81a9c837e783dccc121cbc1c03952a3258c7dfc5c7468c18a4af9589f3","Success","Execute","20044629","2024-06-08 04:08:59","0x4815366bB6f74796173c8Bea057B5919810138a6","0xdipinathout.eth","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","567.23242311","$0.00",""
"0x0cf293b1919f73e3d02addca134766b2c10941dd16c3a35014b6ec782470c4f3","Success","Swap","19975425","2024-05-29 12:08:35","0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67","","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","573.91901917","$0.00",""
"0x0cf293b1919f73e3d02addca134766b2c10941dd16c3a35014b6ec782470c4f3","Success","Swap","19975425","2024-05-29 12:08:35","0x8c75C806a8Acd6f50aC4FE29b3B9F07a67592337","","0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67","","573.91901917","$0.00",""
"0x555de785710a7363d204d2d50344973e7d0705506f2f4de95ae1bef0a79011d5","Success","Transfer","19975403","2024-05-29 12:04:11","0xb7D1b47851374D3a03E06aec4385C2F3c1997879","","0x8c75C806a8Acd6f50aC4FE29b3B9F07a67592337","","573.91901917","$0.00",""
"0x593e309c4c775deeb452d3adb981e55c10adb5035826a846d206c6e876d653f7","Success","Transfer","19971158","2024-05-28 21:49:59","0xa2362B39AbE55E2d4a1b967656a73CD522f9184d","","0x9105D18251Bf4AE6E98783cBD5adeE1F5ca4944a","","1,098.03925861","$0.01",""
"0xb3f65aea55795d9de0e544c4c273e010a1f781598b126a4c5aa07d2a40983180","Success","0x415565b0","19971146","2024-05-28 21:47:35","0x22F9dCF4647084d6C31b2765F6910cd85C178C18","0x: Exchange Proxy Flash Wallet","0xa2362B39AbE55E2d4a1b967656a73CD522f9184d","","1,098.03925861","$0.01",""
"0xb3f65aea55795d9de0e544c4c273e010a1f781598b126a4c5aa07d2a40983180","Success","0x415565b0","19971146","2024-05-28 21:47:35","0x22F9dCF4647084d6C31b2765F6910cd85C178C18","0x: Exchange Proxy Flash Wallet","0xaD01C20d5886137e056775af56915de824c8fCe5","","1.07658515","$0.00",""
"0xb3f65aea55795d9de0e544c4c273e010a1f781598b126a4c5aa07d2a40983180","Success","0x415565b0","19971146","2024-05-28 21:47:35","0x22F9dCF4647084d6C31b2765F6910cd85C178C18","0x: Exchange Proxy Flash Wallet","0x382fFCe2287252F930E1C8DC9328dac5BF282bA1","Coinbase: Fees","10.76585154","$0.00",""
"0xb3f65aea55795d9de0e544c4c273e010a1f781598b126a4c5aa07d2a40983180","Success","0x415565b0","19971146","2024-05-28 21:47:35","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x22F9dCF4647084d6C31b2765F6910cd85C178C18","0x: Exchange Proxy Flash Wallet","1,109.8816953","$0.01",""
"0x5548d6eee9e103bfbeeb0508c714e6f11f5e2bc3cd34485aeae97f1f9c816017","Success","Transfer","19785703","2024-05-02 23:26:47","0xB37b73b913a41388835Ad47AF7fc74011350Ae80","","0x2782b9D25D07B2d1995E597c14CF9D033F01C233","","19.8383743","$0.00",""
"0x63c7b40d9de87ec5946c8be752b3dd2a4360550844b3413f353a147113608a53","Success","External Swap","19785643","2024-05-02 23:14:47","0x50f9bDe1c76bba997a5d6e7FEFff695ec8536194","DODO: Fee Route","0xB37b73b913a41388835Ad47AF7fc74011350Ae80","","19.8383743","$0.00",""
"0x63c7b40d9de87ec5946c8be752b3dd2a4360550844b3413f353a147113608a53","Success","External Swap","19785643","2024-05-02 23:14:47","0x50f9bDe1c76bba997a5d6e7FEFff695ec8536194","DODO: Fee Route","0x6c1c420C04F4D563d6588a97693aF902b87Be5f1","","0.01985823","$0.00",""
"0x63c7b40d9de87ec5946c8be752b3dd2a4360550844b3413f353a147113608a53","Success","External Swap","19785643","2024-05-02 23:14:47","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x50f9bDe1c76bba997a5d6e7FEFff695ec8536194","DODO: Fee Route","19.85823253","$0.00",""
"0x3ba5a76ebc3a1c3002317a5560a10f9dcfc8a4aab52ff19505fd7c06b3d50f94","Success","Transfer","18457798","2023-10-29 19:03:59","0xB1D450064c7E66a4F65C4F7BD30870e0933BA859","","0x6507939cE9555511daC07648Da004057a2e20F1f","","685.89401","$0.01",""
"0xee7b28addc2071358b2ab6d3de22584aa44f3b6fde403ff3800d24d8c5aebcce","Success","Execute","18447383","2023-10-28 08:03:11","0x7c6ce24D013Cd4dDF4c193cE318e3d5533A33F42","","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","868.88636862","$0.01",""
"0x8b2326148ce7e6eceecc72c8f8bd1d8b750690251dce8eb6ceb164bdf5ca99d4","Success","Sell Eth For Token To Uniswap V3","18281558","2023-10-05 03:14:11","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x2C0a5a4074725922692602DD87D04E64828916d0","","60.31668592","$0.00",""
"0x981dea8ce3f6c472edaa1827bfbdee7a2da93c152d8b1643f39093649ce71205","Success","Sell Eth For Token To Uniswap V3","18096090","2023-09-09 03:14:35","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x2C0a5a4074725922692602DD87D04E64828916d0","","60.68898067","$0.00",""
"0x9e97b1d8a89079acea5e27e40dfb9e2eeca3c44f4b2ae676eb70c90b77b5deb9","Success","Sell Eth For Token To Uniswap V3","18046608","2023-09-02 04:59:11","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x2C0a5a4074725922692602DD87D04E64828916d0","","73.01965825","$0.00",""
"0xced3b75750370792285090a83fb31ee677e4b4f8717f182dfe7d666fc6f77b2b","Success","Sell Token For Token To Uniswap V3","17567839","2023-06-27 02:47:47","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x9C090593273F0A0CefC2526b34548a12b692BEDb","","19.37244835","$0.00",""
"0x74b2a6d4c246849e519eddbe117a99d559a47a724cd96a58c12c09aaffc6cbc0","Success","Execute","16695255","2023-02-24 02:30:11","0xD377cFFCc52C16bF6e9840E77F78F42Ddb946568","","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","550","$0.00",""
"0x62aa8badee797f4149c82fee807499332dd177896cb001a3693cb24298254cec","Success","Execute","16692369","2023-02-23 16:45:47","0xD18179EE18F1DE92372Cf806c5BE664845C17396","myincog.eth","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","889.40373044","$0.01",""
"0x4412e14f70e01ed2b2e57c2e2dd5551de0689eed65d0799ca7f3f3a97ff94123","Success","Execute","16692091","2023-02-23 15:49:11","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0x49d3df85FEf5126581959a57eC0329789Ec045df","","1,381.60266523","$0.01",""
"0xc763ddb26fe6c97ae89103f3f92d22aa75892d36b673a56ed10b62af012292e5","Success","Proxied Swap","16576653","2023-02-07 11:37:59","0xe66B31678d6C16E9ebf358268a790B763C133750","0x: Coinbase Wallet Proxy","0xCBeEeE2f759676F25505603Ac26456d8Ff8a06e4","","47.79717015","$0.00",""
"0xc763ddb26fe6c97ae89103f3f92d22aa75892d36b673a56ed10b62af012292e5","Success","Proxied Swap","16576653","2023-02-07 11:37:59","0x8B550F58b714f15d18a970241D6DB2563F0C5615","Uniswap V3: BSCGIRL","0xe66B31678d6C16E9ebf358268a790B763C133750","0x: Coinbase Wallet Proxy","47.79717015","$0.00",""
