Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet 20","60,000,000,000,000","14.2623%","$1,462,200,000.00"
"2","0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance 28","30,396,591,567,221.818","7.2254%","$740,764,936.49"
"3","0x88a1493366d48225fc3cefbdae9ebb23e323ade3","","17,900,000,000,050","4.2549%","$436,223,000.00"
"4","0x6cc5f688a315f3dc28a7781717a9a798a59fda7b","OKX","16,352,981,999,139.468917201819749432","3.8872%","$398,522,171.32"
"5","0x3f9a8345729ea842708e080e238c92731e5699b8","","8,656,848,561,967.470754733118576334","2.0578%","$210,967,399.46"
"6","0xf3b0073e3a7f747c7a38b36b805247b222c302a3","Crypto.com 6","8,651,262,900,394.469613620360548238","2.0564%","$210,831,276.88"
"7","0x16b2b042f15564bb8585259f535907f375bdc415","Kraken 33","8,347,135,222,777.993945266385788055","1.9842%","$203,419,685.38"
"8","0x9b0c45d46d386cedd98873168c36efd0dcba8d46","Revolut 3","8,056,808,566,587.359981","1.9151%","$196,344,424.77"
"9","0x835678a611b28684005a5e2233695fb6cbbb0007","Binance 70","7,639,547,925,348","1.8160%","$186,175,782.94"
"10","0x000000000000000000000000000000000000dead","Null: 0x00...dEaD","6,917,076,877,560.101734292272473847","1.6442%","$168,569,163.51"
"11","0x40b38765696e3d5d8d9d834d8aad4bb6e418e489","Robinhood","6,500,002,000,000","1.5451%","$158,405,048.74"
"12","0x2efb50e952580f4ff32d8d2122853432bbf2e204","Robinhood 2","5,385,658,666,285.611292419233803874","1.2802%","$131,248,501.70"
"13","0xafcd96e580138cfa2332c632e66308eacd45c5da","","4,580,002,000,000","1.0887%","$111,614,648.74"
"14","0x46f80018211d5cbbc988e853a8683501fca4ee9b","BtcTurk: Cold 1","4,103,735,546,976.778778249901205104","0.9755%","$100,008,035.28"
"15","0x9cd6140c2de8af7595629bcca099497f0c28b2a9","","3,900,000,000,000","0.9270%","$95,043,000.00"
"16","0x43684d03d81d3a4c70da68febdd61029d426f042","","3,310,472,086,558.44","0.7869%","$80,676,204.75"
"17","0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1","Coinspot","3,235,402,288,882.999924910315012096","0.7691%","$78,846,753.78"
"18","0x373704e394ef150241aee836115d78aba3fc5c76","","3,231,265,393,040.597488050507565603","0.7681%","$78,745,937.63"
"19","0xc671b05671a7cd3080c6ceae79d284bdde0ef271","","3,074,870,160,093.010543098775446777","0.7309%","$74,934,585.80"
"20","0xcffad3200574698b78f32232aa9d63eabd290703","Crypto.com 5","3,065,371,567,207.916452939860202085","0.7287%","$74,703,105.09"
"21","0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","2,849,684,123,571.975715976969216536","0.6774%","$69,446,802.09"
"22","0x5bdf85216ec1e38d6458c870992a69e38e03f7ef","Bitget 5","2,833,815,204,750.114768487411","0.6736%","$69,060,076.54"
"23","0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","2,637,537,147,838.692320976962844605","0.6270%","$64,276,780.29"
"24","0xaf2358e98683265cbd3a48509123d390ddf54534","","2,519,324,010,963.419102704251293024","0.5989%","$61,395,926.15"
"25","0xa23cbcdfafd09de2ce793d0a08f51865885be3f5","","2,456,742,522,026.28154","0.5840%","$59,870,815.26"
"26","0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61","Uphold 2","2,404,875,431,172.655643595375087627","0.5717%","$58,606,814.26"
