Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x84dfd67e527fc4cda1d39e15d69b18010f899027495eb81a83ee346750267c4c","Success","Transfer","21395514","2024-12-13 18:54:47","0xdE2fACa4BBC0aca08fF04D387c39B6f6325bf82A","BtcTurk 11","0xE4962305D2D3Ae50b5eA70fe1c08915A52dA3dbD","","349,540,479","$8,518.30",""
"0x2782a93209a2ff1a76b27dfeca596c047fe411085ad3269a1a4506760b390035","Success","Transfer","21395513","2024-12-13 18:54:35","0x0B1B8c3d30359D4f351a3708ED07024fCf4c2565","","0xC39933bea0d5a426bCE80B1ee56eb89f036d40bA","","1,513,000,000","$36,871.81",""
"0x09a656cc010c10238e735ad68034753ffc6d102d14dc60776ddb2b9a694dc708","Success","Transfer","21395513","2024-12-13 18:54:35","0x6081258689a75d253d87cE902A8de3887239Fe80","Robinhood 3","0xe20FFC5d019b03b13B99810Fe077c2e45307527d","","6,955,406.6774794199442825","$169.50",""
"0x0a0f580b832fa8130928d45b69c50bcafc038889142862c343bb7ea3101c2f6e","Success","Transfer","21395512","2024-12-13 18:54:23","0x9579f1Eb7cA9b58B7cfA2cFf0fc4CBa37a789cef","","0x948b71008E38e78B60a1f374F09591810380DA78","satyanadella.eth","480,000,000","$11,697.60",""
"0x72e1144083fc13cd5b9d637d8efb73f6d50e1806fbadf5f46f1fbb7fbeb94242","Success","0xca350aa6","21395511","2024-12-13 18:54:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x9E7CFb5550DD1Cc91Afc1d4EdFc3504993118D96","","4,116,073.26610414","$100.31",""
"0x1a8e46643826fe88708df6f5fcee9b5c505479141876c0b294b58edf528538d5","Success","0xca350aa6","21395506","2024-12-13 18:53:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x0D7B63Ee2486Ec3d875d06bFC00FEDD19DEcb92B","","792,468.16816514","$19.31",""
"0x50ca1326d2c60035af80d9c5f97a9ab90e8005f380b07425c10daa8a1800b5a4","Success","Transfer","21395506","2024-12-13 18:53:11","0x828DE81b88D591a222D2B397d680f558581e8A21","","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","85,198,868.895865793110327419","$2,076.30",""
"0x484df65837e6d4e2d908a6dcd7e3e99e52d7a163fd1f3a75637a01fa12f7ca83","Success","Transfer","21395505","2024-12-13 18:52:59","0x548aCF656B3eFF16849665FAF14F57E4149F1F93","","0xA116397d23a4276030d64BBc3610CeA1375a0434","","1,220,037.756720591101101369","$29.73",""
"0x35b1d0b83a028a93e324fc603cc84e95db91d2bc42aadec0c5222ca136277238","Success","0x2213bc0b","21395504","2024-12-13 18:52:47","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","0xB02F39e382c90160Eb816DE5e0E428ac771d77B5","","59,366,362.946153871","$1,446.76",""
"0x35b1d0b83a028a93e324fc603cc84e95db91d2bc42aadec0c5222ca136277238","Success","0x2213bc0b","21395504","2024-12-13 18:52:47","0x77227662747DE91BE03E1E3610C4ce08bb38Bae1","","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","59,366,362.946153871","$1,446.76",""
"0x6122fca3cb50a548bfd826587edfc729d8c9af2ea5c511e5e723b10f28b87bee","Success","Transfer","21395504","2024-12-13 18:52:47","0x46340b20830761efd32832A74d7169B29FEB9758","Crypto.com 2","0x5AE411e03E537F391ed9802f3106be138bD0C103","","3,280,353","$79.94",""
"0x09b710282043cccd6a3c4c2d0652a5f17dec9604cf5f9f90a1bf47c91211d2d4","Success","Transfer","21395502","2024-12-13 18:52:23","0xE291cc3e5b9e0C9b37c9FBDd549aBf3B5c0ad342","","0x923d76aAed0FCF4c20D72934d4529c6254c39b27","","39,042,855.24636915373904971","$951.47",""
"0x68aee0a047f9f17298e5d58fe87e668eb19ff07302edea236c17a32d05186e99","Success","0xca350aa6","21395501","2024-12-13 18:52:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0xd8CdAdF5a60bA961DA0ec9A1C021410478413b23","","18,949,812.55264613","$461.81",""
"0x68aee0a047f9f17298e5d58fe87e668eb19ff07302edea236c17a32d05186e99","Success","0xca350aa6","21395501","2024-12-13 18:52:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0x854CC4C080F1e620f55D13CbaD7A80a96c8d55D6","","330,988.69634879","$8.07",""
"0xd6cd9a41e760922ea4b0a72cd6f2adb821e1b8521be02decc766f14f6f20c454","Success","Transfer","21395498","2024-12-13 18:51:35","0x58b704065B7aFF3ED351052f8560019E05925023","Bitso 1","0x069EcBCb838AF3D21Ff189f3CaBd16076c67D88d","","50,000,000","$1,218.50",""
"0x5152402b12a70a2f087c2e948e09a94a75e5e200855a1da4c59b271ff02cfbf2","Success","Transfer","21395496","2024-12-13 18:51:11","0x8F18413178D972E110EF5553B7fa80b18cA68fc0","itzitz.eth","0xC2E6fd8280d66926fEBC2e4A804cd8454883A0E8","","1,000,000","$24.37",""
"0x6880f5e1b1c7a9f6d72e5ffc2e2960af1fc488ca3bb44eab4493ada66d80c6c7","Success","Transfer From","21395496","2024-12-13 18:51:11","0x02CB802Ec479f9E1Ea5Bc41D09b3F8E08C555642","","0x91Dca37856240E5e1906222ec79278b16420Dc92","Indodax 3","7,855,165.133363","$191.43",""
"0xf9e6498341cd30160aed478c180824ae062bbbdf51d0574581e51e9a17d6eb4e","Success","Transfer From","21395496","2024-12-13 18:51:11","0xc75f44a9e71822C65c98AFCBB9A9CB1d4b9A9D62","","0x91Dca37856240E5e1906222ec79278b16420Dc92","Indodax 3","21,722,027.49","$529.37",""
"0x4c311cf552648515be7644a13ad70cd41704cf3b2c4c9b9851e5cec918a5db14","Success","Transfer","21395494","2024-12-13 18:50:47","0xd3068207A9Bb191e5EC4039cF34DB59ebCd7b990","","0x4c821596f17E9295E6fB77A36e92014A021D319d","","2,459,520.39352326279921664","$59.94",""
"0x7823400a665c4f29b24a2cbddc51eb9be721b531b0deb99186b1bdf79ddd2b91","Success","Transfer","21395494","2024-12-13 18:50:47","0x0D0707963952f2fBA59dD06f2b425ace40b492Fe","Gate.io 1","0x016606Acc6B0cFE537acc221e3bf1bb44B4049Ee","","350,656,229.84","$8,545.49",""
"0x91f13f9c59eed4db248aace750fdfd79c496f501c54d8f893d1c68cb256ea741","Success","Transfer","21395493","2024-12-13 18:50:35","0xC9D4ed0E2ba45C6338D30970a3eCD1670284d88b","","0x552a137285bAcBdc50dc07b17cD792d032435Cdd","","1,386,551.862195568927530332","$33.79",""
"0x6c13e988a42833d8732bc057b64e61c7c84201c345560acf019637ad084e0b60","Success","Transfer","21395492","2024-12-13 18:50:23","0x4fa7A9e7d0551f1740578033d3273c60840dD5A9","","0xdd3d72C53Ff982ff59853da71158bf1538b3Ceee","","15,552,532.4838272","$379.02",""
"0xe606f75b7b55b16157f38bd8febe9fe1a3a516094dab4621b4e406353761e556","Success","Transfer","21395491","2024-12-13 18:50:11","0xbE3c55D06422A811d2fE47A84984d5168cF7fD63","","0x27d232Ee898cb4d4F5B36f18C701187Ff3950C18","","827,322,031.19236577","$20,161.84",""
"0x07316d629febfba16450c1c033391a44e253439ea08d6dbb46f0d8c81a5ca3f8","Success","Transfer","21395490","2024-12-13 18:49:59","0xa21A16EC22a940990922220E4ab5bF4C2310F556","Wealthsimple 1","0x4a77F174a68b00CE5eD4d8509455C36eEBE410Ea","","865,936.441708","$21.10",""
"0x4a7004828b2a92c207057a9c16141fcf02fbff1d07c2e5c00fdaa5e7bf2dc8dd","Success","Transfer","21395489","2024-12-13 18:49:47","0x420fE5E18CF7394602bAE717253DcE7157216Dc5","","0x828DE81b88D591a222D2B397d680f558581e8A21","","85,198,868.895865793110327419","$2,076.30",""
