Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x000000000000000000000000000000000000dead","Null: 0x00...dEaD","4,450,068,216,362.79297892","44.5007%","$1,077,450,516.55"
"2","0xb8d2471e35ee033db509e0456c8efc4135f4ee43","","1,239,212,737,038.018028605","12.3921%","$300,038,187.89"
"3","0x46f80018211d5cbbc988e853a8683501fca4ee9b","BtcTurk: Cold 1","251,278,887,154.313776997","2.5128%","$60,839,644.16"
"4","0x04b604712a92d8e206b7c9d1a74d2aa78e8cdda5","","246,973,642,191.1446154","2.4697%","$59,797,258.25"
"5","0x43684d03d81d3a4c70da68febdd61029d426f042","","168,841,664,736.07","1.6884%","$40,879,943.87"
"6","0xc882b111a75c0c657fc507c04fbfcd2cc984f071","Gate.io 5","168,218,954,977.808140709","1.6822%","$40,729,173.38"
"7","0xf3b0073e3a7f747c7a38b36b805247b222c302a3","Crypto.com 6","162,001,812,140.981494536","1.6200%","$39,223,878.76"
"8","0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet 20","145,974,000,742.3","1.4597%","$35,343,225.06"
"9","0xa23cbcdfafd09de2ce793d0a08f51865885be3f5","","141,416,749,244.078861","1.4142%","$34,239,823.33"
"10","0xa6e2839e73e623ef3853a6bd28d6f02a127a4307","","104,502,969,604.743450014","1.0450%","$25,302,259.00"
"11","0xdfd5293d8e347dfe59e90efd55b2956a1343963d","Binance 16","69,211,717,289.99","0.6921%","$16,757,540.99"
"12","0xcffad3200574698b78f32232aa9d63eabd290703","Crypto.com 5","65,983,601,639.040539986","0.6598%","$15,975,949.63"
"13","0x9b0c45d46d386cedd98873168c36efd0dcba8d46","Revolut 3","61,877,960,932","0.6188%","$14,981,891.90"
"14","0x88a1493366d48225fc3cefbdae9ebb23e323ade3","","60,000,000,002","0.6000%","$14,527,200.00"
"15","0x0529ea5885702715e83923c59746ae8734c553b7","","58,456,465,764.4199998","0.5846%","$14,153,479.49"
"16","0xca7c2771d248dcbe09eabe0ce57a62e18da178c0","","57,082,857,396.989235782","0.5708%","$13,820,901.43"
"17","0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1","Coinspot","55,302,501,385.52625985","0.5530%","$13,389,841.64"
"18","0x21a31ee1afc51d94c2efccaa2092ad1028285549","Binance 15","54,514,135,735.650000004","0.5451%","$13,198,962.54"
"19","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","48,714,707,664.614184762","0.4871%","$11,794,805.02"
"20","0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","48,385,900,281.958574175","0.4839%","$11,715,194.18"
"21","0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","46,987,540,990.438996718","0.4699%","$11,376,623.42"
"22","0xca1f85ca6e502287c489d373938eb55c9b832c0f","","40,538,729,529.95050038","0.4054%","$9,815,237.19"
"23","0x64c74b5cfe60cb5f36ddebb14b9431ba33e95527","","35,000,349,999","0.3500%","$8,474,284.74"
