Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x803f06529f7d4ea2d6fad32d5672f448ac4f3c655f91b9b94c3463a748f35076","Success","0x2213bc0b","21395512","2024-12-13 18:54:23","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","0x01871f804139fDde2494D117bfF4f7c7e6EEE42E","","240,236.003646713","$58.17",""
"0x803f06529f7d4ea2d6fad32d5672f448ac4f3c655f91b9b94c3463a748f35076","Success","0x2213bc0b","21395512","2024-12-13 18:54:23","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","0x7AfA9D836d2fCCf172b66622625e56404E465dBD","","2,059.511881994","$0.50",""
"0x803f06529f7d4ea2d6fad32d5672f448ac4f3c655f91b9b94c3463a748f35076","Success","0x2213bc0b","21395512","2024-12-13 18:54:23","0xff8Ba4D1fC3762f6154cc942CCF30049A2A0cEC6","","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","242,295.515528707","$58.66",""
"0xae23a96765112d12517c033b5e73b7b76a3658beab9926b7e93060d9eb921208","Success","0x2213bc0b","21395503","2024-12-13 18:52:35","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","0x24863f1648242077D0907e70b4A14705e4dF85b0","","61,267.132305734","$14.83",""
"0xae23a96765112d12517c033b5e73b7b76a3658beab9926b7e93060d9eb921208","Success","0x2213bc0b","21395503","2024-12-13 18:52:35","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","0x7AfA9D836d2fCCf172b66622625e56404E465dBD","","525.235123145","$0.13",""
"0xae23a96765112d12517c033b5e73b7b76a3658beab9926b7e93060d9eb921208","Success","0x2213bc0b","21395503","2024-12-13 18:52:35","0xBF19CbF0256f19f39A016a86Ff3551ecC6f2aAFE","","0x70bf6634eE8Cb27D04478f184b9b8BB13E5f4710","","61,792.367428879","$14.96",""
"0x95960f1087d684d7960d4dbde2c659f7018a8d77b2ab8f8a7839a8bebcb97f6a","Success","Transfer","21395498","2024-12-13 18:51:35","0x97069348eE428b3b17F9f24681eAce0931872451","","0x9eDD5319b6f8C9f31790C8313df8a840c44fbC03","","1,000,000","$242.12",""
"0x7aaf57744d98b2c6ca812f7479b9d12147a7936afde299081b4539d101f1d207","Success","Transfer","21395491","2024-12-13 18:50:11","0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549","Binance 15","0x05Ccca78A26ad406308479c57d44De21f0B75A59","","462,890.55","$112.08",""
"0xaafce1ff48e00234d5e9ae31ca5f33d7f475890a80bb77d0d9628a13ae1620b4","Success","0xca350aa6","21395451","2024-12-13 18:42:11","0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43","Coinbase 10","0xb133BbEbF4ACa8Cd984E89922b5191F34a35588F","","394,335.361675819","$95.48",""
"0xf6c472c8280807d0c77b565de5fd6ddb666f492685ddb4c2eed1ac0ee833a643","Success","Transfer","21395451","2024-12-13 18:42:11","0xdE2fACa4BBC0aca08fF04D387c39B6f6325bf82A","BtcTurk 11","0x1D05e0A37cbB64B1a5b8BA4598A795CC0499B04b","Binance Dep: 0x1D05e0A37cbB64B1a5b8BA4598A795CC0499B04b","203,616,511","$49,299.63",""
"0xd1ed8727f844619bb6126e629a1f56c78e601b66d27ed7a5e52d42f42d4c4299","Success","Transfer","21395451","2024-12-13 18:42:11","0x9acbB72Cf67103A30333A32CD203459c6a9c3311","Paribu 5","0x1D05e0A37cbB64B1a5b8BA4598A795CC0499B04b","Binance Dep: 0x1D05e0A37cbB64B1a5b8BA4598A795CC0499B04b","194,387,335","$47,065.06",""
"0xe16489d9c6d78c5fbc6e2a74c5cb142efae3ae8e58392a42b576f6dc23cfd300","Success","Transfer","21395446","2024-12-13 18:41:11","0xdE2fACa4BBC0aca08fF04D387c39B6f6325bf82A","BtcTurk 11","0x36763bE9dC7604Ad9724E9E486C023d0731C93E1","","100,000","$24.21",""
"0x6e9a6a160e5ae873d2b68019e9d3ffe747eda88310afe40288db8e1bb796af00","Success","Execute","21395445","2024-12-13 18:40:59","0x43Ee35d5542F5B826fa92832bD97CAFF153675A8","","0xff8Ba4D1fC3762f6154cc942CCF30049A2A0cEC6","","27,536,954.034842944","$6,667.25",""
"0x6e9a6a160e5ae873d2b68019e9d3ffe747eda88310afe40288db8e1bb796af00","Success","Execute","21395445","2024-12-13 18:40:59","0x0A0073f0f7019cD92fB8D0410366e28f14a8481b","","0x43Ee35d5542F5B826fa92832bD97CAFF153675A8","","27,536,954.034842944","$6,667.25",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0x3451B6b219478037a1AC572706627FC2BDa1e812","","0xca7c2771D248dCBe09EABE0CE57A62e18dA178c0","","1,746,169.747116869","$422.78",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0x3451B6b219478037a1AC572706627FC2BDa1e812","","0xBc530Bfa3FCA1a731149248AfC7F750c18360de1","","5,254.272057523","$1.27",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0xBc530Bfa3FCA1a731149248AfC7F750c18360de1","","0xca7c2771D248dCBe09EABE0CE57A62e18dA178c0","","20,732.382445861","$5.02",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0xBc530Bfa3FCA1a731149248AfC7F750c18360de1","","0xca7c2771D248dCBe09EABE0CE57A62e18dA178c0","","186,591.442012752","$45.18",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0x3451B6b219478037a1AC572706627FC2BDa1e812","","0xb1F05c103cdD519e9F9785cDa23c03635A598bE4","","18,763.992928288","$4.54",""
"0xccf5e1fa8da60857efc115570f0cf693e245a58dcd286be7968a3e15d1efd21a","Success","Swap","21395442","2024-12-13 18:40:23","0xE50f5644C92Bc37d8154109B32130763bbA6Ea1b","","0x3451B6b219478037a1AC572706627FC2BDa1e812","","1,770,188.01210268","$428.60",""
"0xac85a49f733307dca396bdffb7cee1e0e678af7abafc1a57fce62389675bfa03","Success","Transfer","21395441","2024-12-13 18:40:11","0x566004c7d670A9c899f0cF183021eE71D48A3527","","0xB5A46bC8b76FD2825AEB43db9C9e89e89158ECdE","","224,558,413","$54,370.08",""
"0x9ce4712313f73c9d66a4c335f29664c93a7eb126157fb2b2ccddea54e7d85a38","Success","Transfer","21395438","2024-12-13 18:39:35","0xC47870b0A900a64cf41378c4a2568C5eb8B9E90F","","0x12A2bA8443a346629edDF95201C64d776522453E","","316,840","$76.71",""
"0x5667779553f122384a2d11a334a8921147068b679507533c9d462c154fa3118b","Success","Transfer","21395438","2024-12-13 18:39:35","0xdd3d72C53Ff982ff59853da71158bf1538b3Ceee","","0x3131Ebf44563551F7Ab68834F1C082Eb63658b65","","81,073.95773739","$19.63",""
"0x82d36cea9c9c134d52c4259a26859e489a4a4d36efb68d20b5bc902886d4e36d","Success","Transfer","21395436","2024-12-13 18:39:11","0x818A14e665E0119906926209D09d13B2Eab0c211","","0xB5A46bC8b76FD2825AEB43db9C9e89e89158ECdE","","618,802,407","$149,824.44",""
"0xaf9308ea11cfad6a15603c41e4ae72e6d94633ee90fa14ef0891f3a325566ed8","Success","Transfer","21395422","2024-12-13 18:36:23","0x58b704065B7aFF3ED351052f8560019E05925023","Bitso 1","0xA711B553aa4Df63030Ce3bc93312bCcb258aCC71","","70,000","$16.95",""
