Name,Where you can see it,Link to the FAKE source,Link to the ORIGINAL source,Type of fraud
Flashblock,Telegram channel and email,https://t.me/flashblocks,none,Stealing PRIVATE KEY
Atomic,Website and email delivery,https://anatomiaairdrop.typeform.com/,none,Stealing PRIVATE KEY
ZillowBlockchain,Telegram channel,https://t.me/OfficialZWB,none,Stealing PRIVATE KEY
Golem Official bot,Telegram bot,Telegram: @golem_official_bot,https://t.me/GolemProject,Asking donation to get tokens
Cube Community,Telegram channel,https://t.me/CubeAirdrop,none,Asking donation to get tokens
Quant Airdrop bot,Telegram bot,https://t.me/quantnetworks,https://t.me/QuantOverledger,Asking donation to get tokens
Hydro Airdrop,Google form,https://docs.google.com/forms/d/e/1FAIpQLSdhlfkfOxsZjO-2UKjejrKesYcdF87e3SoHsFbI-Q5v94o6vQ/viewform,none,Asking donation to get tokens
RChain,Telegram bot,https://t.me/rchain_official_channel,https://t.me/rchain_coop,Asking donation to get tokens
GINcoin,Telegram bot,https://t.me/Gincoin_channel,https://t.me/gincoin,Asking donation to get tokens
EOS,Telegram bot,https://t.me/eos_project,https://t.me/EOSproject,Asking donation to get tokens
DigixGlobal,Telegram bot,Telegram: @DigixGlobal_bot,none,Asking donation to get tokens
Radium,Telegram bot,Telegram: @DigixGlobal_bot,none,Asking donation to get tokens
TUBIG,Website and email delivery,https://t.me/FalconAirdrop,none,Stealing PRIVATE KEY
Falcon Project,Website and email delivery,none,none,Stealing PRIVATE KEY
GP Pharm,Website and email delivery,https://t.me/gppharmofficial,none,Stealing PRIVATE KEY
Pheonex Blocks,Website and email delivery,none,none,Stealing PRIVATE KEY
Mining 24,Website and email delivery,none,none,
